channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,3.07115417655437,0.460091827747423,1.5207822411118,0.186347076872524,0.0303088150671609
2,2.61683004998906,0.303019403722845,1.2531543373341,0.11447124528257,0.0227100476948577
3,1.51680502228902,0.240227188678035,0.795220000934455,0.0901353733697847,0.0242089712382993
4,8.22933413629372,0.784202064916718,1.91864765586636,0.270549429181481,0.0493009969519229
5,15.4043116876878,0.846003163209485,0.900027718244682,0.129867510177504,0.0382728928503379
6,23.3808879584084,3.04485214679558,2.15856130973048,0.563334386039696,0.116220219866571
7,3.82994962214732,0.985575748992864,2.13999228367681,0.421346520160029,0.046245457071362
8,4.82464041101232,1.24936411903726,2.25619688857571,0.422086310050896,0.0826691958523044
9,3.96522760414014,1.05126950399559,1.75514117803095,0.439831793374325,0.0724191412855039
10,8.51445156310846,0.448097601252396,0.42184864361879,0.0949428268239566,0.0202385737771714
11,3.56827920660273,0.643455354615714,1.39781282534951,0.279314775272086,0.0281372231830751
12,3.49792322645278,0.468195523599161,0.662123220752457,0.211991798769919,0.0298595982853389
13,49.4745540236137,2.93295980712462,1.85477710544736,0.516463126206739,0.0894526327353052
14,11.118579595966,1.81204918539409,1.71319605164154,0.742174023483335,0.115589635361499
15,2.41849486438284,1.01407409284908,2.02121622657954,0.680466763620252,0.0483087655263078
16,3.21000572516017,0.9664188572873,1.29428702284602,0.533391890664606,0.0696201870264317
17,3.56287590894057,0.546566716406758,0.962730135244259,0.244349750111884,0.0313142262368002
18,3.27967047718517,0.762600078319885,1.14410798234026,0.363444462768382,0.0579203090326827
19,5.69757946900042,1.61864144170042,2.68316037577651,0.695069553281852,0.118613323183022
20,3.21513866289745,0.624910399807425,2.30268873088906,0.340798914808617,0.0281476024209472
21,2.46060450090171,0.643493512023779,5.13920788293025,0.478894353570868,0.0643789371466722
22,2.91429113201382,1.09469650218718,8.35862637749399,0.570620367974481,0.1301741362642
23,2.69140562984728,0.902481511773343,6.41965379942189,0.593735018372494,0.0824528114611098
24,2.88368297872454,1.08975030024271,3.06035475154095,0.565127502910073,0.0547546488507367
25,7.56361970709797,1.49260484547279,5.33658912875636,0.69529921966504,0.0571126461250809
26,2.4882561641759,0.645770699749016,3.19797468667202,0.337169403387558,0.0321538521412899
27,2.7531270923029,0.987808084196897,3.58068425088123,0.440453131536352,0.0475019924159986
28,2.52300842344818,0.749800841871537,3.98827348190672,0.328292851404405,0.0405135341673063
29,2.29068003957754,0.645634519960281,3.72334274968284,0.312342753648579,0.0336649499649551
