channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,1.47719781088374,0.283985068461277,0.149011800184884,0.270434627497069,0.236908570309767
2,1.2570963817001,0.127538012673203,0.0746196333361041,0.113570991356124,0.0943975024547912
3,9.29028895297387,0.513347750927684,0.224715296989899,0.622738763611979,0.488394654938189
4,2.98394773036888,0.584415662926064,0.18861446349953,0.152721767877126,0.12128056892482
5,2.37622705262593,0.244815946663369,0.0865744699906675,0.0597305696612013,0.0387279514052391
6,6.32690208464307,1.9383675460577,0.840902333714047,0.56494731676974,0.413053737735777
7,1.90912086628606,0.415194994809316,0.198018998680797,0.140244084164132,0.0839171652827106
8,6.72668737445987,1.6158193415679,0.677611807770898,0.272890249189854,0.071075937240327
9,3.2580856634654,0.812005782935519,0.306539315724044,0.164233052136001,0.0531706164598261
10,3.19054704226783,0.914854397443181,0.369770118190945,0.249942604570645,0.175528898610201
11,1.01778644968737,0.227893269657398,0.118467675431287,0.104568641734385,0.0850754651733358
12,11.1463278574854,0.940568410021983,0.435813132786952,0.232540016188265,0.107901757734102
13,2.9933082917996,1.02213168147577,0.515891384755063,0.281836630863198,0.105870857942678
14,2.05703034881063,0.306101627119281,0.160535252491773,0.0935386244172384,0.0359784983908009
15,0.91502954234436,0.26121242050208,0.137881493538773,0.0744686667071737,0.0491074172146828
16,1.69140330355533,0.47453832345338,0.285935618552107,0.143704186902023,0.0530743137534519
17,2.80496651985691,0.604289141531427,0.295880796736138,0.188273284728815,0.0953296232469982
18,1.27367224164745,0.385465645197616,0.234240076250016,0.129230126701142,0.0428887668168572
19,1.49527306345465,0.482766976873909,0.296942293665796,0.156099602556465,0.0494143253577785
20,0.784725153304242,0.278393757336034,0.157031197533243,0.082943429292205,0.035455791199896
21,1.53202814104092,0.515057548117288,0.303951747527111,0.157612091340036,0.0992957002044491
22,0.722721164763689,0.222839533791012,0.12629990491403,0.0644977990419884,0.0377031378851237
23,1.1315545735611,0.368071855904423,0.277479141025145,0.140073289267995,0.0658087046148379
24,2.43379827172096,0.668569048546224,0.392391420851092,0.211147196877109,0.0592479128017937
25,1.16359770476674,0.430941452944444,0.234839306259974,0.113369318338521,0.0597232488195833
26,1.2977155311015,0.40014573143526,0.240920156756342,0.124507254058966,0.0405559719878627
27,2.55021937144668,0.904772474183056,0.469450463348718,0.220020469946556,0.104774648853974
28,5.77777621429241,1.21977376290607,0.641537059302004,0.298894778920564,0.090502630156795
29,2.14327138087374,0.576319455702853,0.3188287846484,0.152185483400152,0.0506036758965427
