channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,3.73886059238734,0.483788388457023,0.195994857180852,0.296633445372121,0.207675051765445
2,2.45308836375133,0.258232292607735,0.109396207165309,0.123317137833905,0.0852714687945622
3,2.17439548953691,0.536666395125099,0.294274687312792,0.1885115890098,0.0954499754099525
4,40.7086581762213,2.63705108066229,0.523816265717019,0.641397509409245,0.539729764772229
5,25.823200675288,4.16257503767514,1.80927503962268,1.12463854299986,0.694187545231871
6,13.7283594413387,0.966640463967727,0.223046786159476,0.232642946447941,0.195166453662678
7,4.97173370495153,0.887843658487989,0.550513526008778,0.397860346287841,0.164085913157403
8,1.45751068432232,0.391934541547297,0.196276520841561,0.151123765977691,0.0657366242318417
9,1.84822460091692,0.309348312495796,0.17669954355844,0.117284970711893,0.063036517308051
10,3.93474025373071,1.08169806580668,0.56339960828044,0.262665875331928,0.155022189098543
11,2.45173176915001,0.409471341292207,0.214037747298978,0.13848970165632,0.0779997512644905
12,2.18803457105625,0.541687121554815,0.358859967050559,0.217341929480624,0.121848545595739
13,1.32173647749155,0.2155175533333,0.116877474295669,0.0901700281883518,0.0671323040017993
14,6.31077000953181,1.20935293457065,0.575574421459722,0.337061063155268,0.171442575055231
15,9.73942833363769,1.79050735955542,0.495284205955375,0.263723909806373,0.121472913963413
16,1.45983484070428,0.279556020792865,0.151338856303946,0.0899323389373843,0.0470736171584642
17,1.27932319919104,0.172484161812039,0.124027086226523,0.0794285927197698,0.0520739064009993
18,2.09036685832971,0.340778012408098,0.169700527918132,0.123550440654094,0.0793631753766883
19,1.61643851336156,0.317562964712853,0.189550049051555,0.208143748062614,0.161549214840547
20,1.45866700179792,0.371130904256175,0.255247143159288,0.235415072655909,0.179651094359394
21,2.29379702739093,0.294847713157768,0.144095352425727,0.0863537202145764,0.0408850843485644
22,1.74149725704969,0.412700847844006,0.205013314804615,0.11565160050488,0.0497752962120236
23,1.6500586996812,0.329841118569379,0.238135289868913,0.14292138499021,0.0607479779427875
24,2.38508125370007,0.390206118946587,0.261044260703492,0.167300047720275,0.123341741150188
25,2.98646367326693,0.88989900621485,0.549364423057332,0.27285093197376,0.085899445247781
26,2.18602819125421,0.501078406861431,0.188717951750285,0.124108473468959,0.0923160975413821
27,11.5488878563887,0.859458183462458,0.478809887543133,0.237889319385354,0.0954583558677342
28,4.68395018635035,2.92188707460106,0.66892723846819,0.213928280746893,0.112780415892044
29,2.39672978511416,1.26415060305968,0.301295162038786,0.131893698424334,0.0833768468739473
