channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,1.46127996046608,0.661323387082263,0.822129174010105,0.444874278358134,0.0350472536264742
2,1.21224928315005,0.510274860827272,0.687736661307291,0.425920920928663,0.0319929493420263
3,2.89862122356198,1.4100497444934,1.47134301962322,1.08480902039404,0.121932345668193
4,1.27490404376488,0.778332863428862,0.79418347164351,0.544198783606668,0.0239572134904344
5,0.229247017248962,0.159669498199262,0.26200955656697,0.105796430766842,0.00363242017275414
6,0.728774785010653,0.352150530525604,0.414116977476076,0.361809314733203,0.0285007450866008
7,4.51449181192235,1.84073003597219,2.03611418286872,0.990961962220483,0.0826057321006817
8,2.56706193831846,1.43655340983555,1.73150617957621,0.850727945767044,0.0384731409027158
9,0.303906679968954,0.281141951766352,0.272661136765701,0.194493358806575,0.00609837304325137
10,2.58893556024316,1.32083748301393,1.59913719765217,0.6599503055563,0.0463477688880736
11,4.92474983501605,2.76352137753525,4.94067197673465,1.32166947323132,0.0615497534426235
12,1.52265740886155,1.37242482440857,2.21594035265459,0.858714954936954,0.0172449189079962
13,1.28569106743926,1.33313901877021,1.9391137115831,0.661267113291288,0.010766546728813
14,7.95626595373481,3.72160895536001,5.07204716003754,1.63037565129912,0.127809767061119
15,3.42143703982514,2.5073329945674,4.95977362371818,1.47335353265587,0.0422876156136104
16,1.55806032320467,1.26201613898894,2.61273095904079,0.858303849378907,0.0133013443169455
17,1.2918949763279,1.05771045345879,2.02880202680422,0.653904216198413,0.00906601867642183
18,3.81902876013419,2.81704072725223,4.87429607438905,1.34187984799962,0.0336403682893488
19,0.566931423337944,0.29799360210193,0.451439216111651,0.204232960516405,0.00933459285910665
20,5.1596003520969,3.16754321123801,6.05669909932689,2.44885353451924,0.179351982439752
21,3.43680272989925,2.48530965006377,5.5982206999866,1.78455801601098,0.0378450746615441
22,2.66715963716652,1.64480532123523,3.70613492641022,1.17861709623323,0.0219101314237981
23,3.64694864034152,2.61221101791726,5.38920316392853,1.54099651751111,0.0425345406068464
24,4.2107045334471,2.45029725603618,4.67866709604135,1.45266936046584,0.0540793634461639
25,6.83162575750995,2.87823265296684,3.74217055997705,2.0018604743115,0.177340961808775
26,5.49236554840464,2.70074034160716,4.75194570370607,2.6808245605015,0.233412968860033
27,5.2131578654589,2.26793756224849,3.89900956408685,2.15034135453352,0.201611374738065
28,4.3882114672979,2.30638755321494,5.0683026695506,1.75115323752847,0.0921225279444312
29,3.57654852712484,1.72319135848502,2.6614690622332,1.06264503909583,0.0413216384243787
30,3.12941514054008,1.28081275954854,1.46000346987362,1.34397304123624,0.178817217697823
31,1.13065901234216,0.603974399793047,0.725192005808551,0.382948260843738,0.0176825244553338
32,0.865978556631888,0.355576608690762,0.469692363226618,0.362369165840084,0.0352020990403906
33,2.66923559917847,1.0298572111629,1.14921536772421,2.00485548799491,0.301307440949843
34,2.86730132335708,1.39962169435253,1.45642028914242,1.10868637713813,0.125779054083651
35,0.507168507739834,0.353922782595165,0.412888336239089,0.237955628402067,0.00904056648354772
36,0.251746316430033,0.139111903389063,0.21467516024893,0.117992142038697,0.00591183187513558
37,2.76052767694325,0.96430756311545,1.04473448958809,1.41027517104066,0.192827856835892
38,6.08562670726818,2.52250688043089,2.78709090970112,0.920188430989201,0.0455263426265698
39,0.950413601327827,0.715389602988018,0.729999782178058,0.503600982966866,0.0193227109313927
40,0.573561629428,0.426214765833554,0.490247492864877,0.260675156323475,0.0145136263157519
41,4.49671789578165,1.85189050238293,2.0638942498093,0.970486114014935,0.0783276748387537
42,2.96270813514643,1.99957010162348,3.22518929586254,1.03730310562516,0.0294981092514562
43,0.564106471977911,0.530218459391029,0.811030522472134,0.350814147513735,0.00700537462762587
44,0.306601695440596,0.300859655952365,0.510368707559755,0.177753225478346,0.00256450441387591
45,3.23781622517579,2.19284454193092,3.1037014846538,0.927183832180514,0.029180874400185
46,6.32509826503393,3.72453452633261,6.991478066406,1.90298006016524,0.0902192410350094
47,2.68714020432211,2.34250752618717,4.90528592108364,1.4898056713269,0.0262483320206339
48,1.3420674937314,0.909133651438769,1.96867082842241,0.652712949799199,0.0108924211105444
49,2.4772212237745,2.47401220110979,4.13347933562863,1.27151303052888,0.0183398610469806
50,8.25662450928728,4.66568883570342,6.60845331981523,1.8270474264552,0.0628917617867942
51,5.11093798728299,3.15158083690602,6.02584816703813,2.42864506986872,0.175781900858087
52,2.70022429698498,1.68491777885817,3.78873353087882,1.20465037334272,0.0223256902786487
53,2.47852630714767,1.69967645216937,3.53500360043514,1.07779777555281,0.0203540488658635
54,4.39262892628402,2.95646062932244,6.48490629552758,1.85613288565154,0.0706018034357629
55,5.75990107811513,3.07014861421092,5.41861803929211,2.72480448402085,0.191568455635252
56,4.19501250919017,2.50578867964688,5.40027829993571,2.04814218640263,0.0738986767355216
57,3.73203811403343,1.99993230730669,4.42017924647329,1.53186560289442,0.0480043139610157
58,4.3823715730068,2.31477169285747,5.09040188444845,1.74784556651704,0.0904806833817586
59,4.20193053345543,2.36222349900727,5.3442375663643,1.76058542140881,0.080528569486854
