channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,3.13378127698257,1.62129621707728,1.3003869051129,0.25181451033992,0.111252633663956
2,3.20418837773503,1.70898834018377,2.052378127777,0.411865310534638,0.236893490102454
3,5.68539469212186,2.1418337004556,2.11226711777624,0.349616933263391,0.193574587448536
4,8.59578052572202,4.15665530105122,2.59845504182519,0.458472251497849,0.123680156985699
5,2.9712949007282,2.03484335856476,1.45230423805871,0.227928350470664,0.0815054135727063
6,5.46911255440821,4.73859683283185,3.20541822114506,0.514265925256182,0.139080001746069
7,1.53988497281297,1.69933766549812,1.62445798051559,0.202901886135143,0.0422954953191356
8,6.30195740490021,2.95372448601948,3.15507163860711,0.472399220225677,0.0900132923900007
9,3.17153482399442,2.26102491180864,2.33663199408366,0.293763453746632,0.05659969324573
10,8.17526667295966,4.10626057609075,2.78901428643575,0.474722767968318,0.111181147525141
11,2.32567813575512,1.67744800376696,1.90122992408742,0.225615675125374,0.050913903046508
12,9.01644979773378,3.77464532633332,3.19804916496272,0.706865294904293,0.189722553046571
13,5.41997991238014,3.16975755232018,3.27096750921418,0.56825491653246,0.320921973772087
14,4.34749792246805,1.82807119957577,2.5626880070961,0.380625220545794,0.0494737173350157
15,2.01025060603874,2.24372926507613,2.38177994768047,0.288319681593399,0.0372629904121177
16,3.80682873386203,2.36177621681181,2.26456124121828,0.436964262987171,0.0888807248621795
17,14.2303217934908,2.75652876318059,2.58118551385091,0.692373953845283,0.324506944623302
18,8.41815696026324,1.38609929990879,3.68525924466676,0.444423834937757,0.0521993977877305
19,5.77906124771365,1.88933694486832,3.97693171317467,0.538866579445757,0.0578061063179491
20,3.14202064040451,4.07860712403054,4.38964501752304,0.521620722805619,0.108321598620691
21,5.91796813987525,2.34180231373775,3.09912375455614,0.552233732963095,0.085107432953184
22,2.90572233889868,1.62194990487508,1.54878600191673,0.267510673475104,0.048887280136467
23,2.34512062792007,1.89194154319041,3.58027376864347,0.446097595239522,0.060756616883821
24,5.66610969013673,2.76312325459579,3.69351631402898,0.4907371405181,0.0706814679235513
25,4.38361986357108,7.0379802998097,5.56751323187613,0.53353040286311,0.14711745703212
26,9.22456870631331,5.06755103840525,5.41340917706039,0.494811387557762,0.104030735870056
27,2.36371741526961,4.24862021987852,3.70556097342733,0.369245830680309,0.13484509379975
28,2.95627433737621,3.25541357541154,2.95841866283243,0.404582485020514,0.192575939981307
29,4.90362184274355,5.81083174366111,5.54762409556874,0.543462012642645,0.232531250546145
