channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,1.78207716053821,0.474092300412374,1.11646386976299,0.139346733216468,0.0285406301593367
2,2.74568359189413,0.599269996590946,1.20667162082524,0.186970224578151,0.0623839808150792
3,8.28447188898352,1.45842990964096,1.51357974667853,0.61790590886255,0.203157645368577
4,7.67770372809431,1.7766320934259,1.63608612255397,0.378560219035977,0.102679114439279
5,5.32067284192778,1.68648609046075,2.06880755083817,0.684655810909162,0.183942966989293
6,6.81776557679387,2.46047979128826,2.5152150708643,0.72069088772215,0.120009491718217
7,4.54622767373233,1.85420592909942,2.37159232211931,0.493100815169048,0.0782228705144125
8,3.14816822791462,1.25601997489466,1.97191185030672,0.273568533262299,0.0919248243576906
9,42.5985394502958,6.83672266662936,2.76080620054834,1.00810026292305,0.242125664254423
10,2.94337864649051,1.06043389914713,1.42780234028624,0.335037688987667,0.0615882907214825
11,6.65967134679516,2.53396480632194,2.36318773040809,0.733149620639404,0.104903070508337
12,7.92298120344864,2.3812468191386,2.41344268764488,0.555035441530289,0.0720040371387494
13,10.0463362297439,3.63264123957144,3.49477388687048,0.846463693128254,0.187600491366379
14,4.94169277886189,2.1061341281052,1.49929375987849,0.488750523902734,0.0629093438788192
15,3.04918357310276,1.3947517033639,1.24613502043342,0.301494105068006,0.0537915252899103
16,3.46038363349274,1.33638092127967,1.87420715386107,0.455474215483321,0.0559483298377306
17,3.51129026858196,1.45472377224968,2.471198818811,0.438026851503325,0.0906460737713672
18,3.27801404170278,1.61639362081844,2.40993438898883,0.50255940054784,0.0626485486816726
19,2.75855452658791,1.57445026094667,2.25392196341523,0.561444441451118,0.107836923233057
20,5.46991287994075,2.59065259249931,4.31981388263268,0.619134343021073,0.0888234896410412
21,3.42440858984443,1.71464244952617,3.96351641563473,0.503811901496938,0.0487874921188869
22,3.61103011448096,1.3031708274075,5.73485349775328,0.486142041776453,0.0388665858259682
23,3.68425020200079,1.54977292995798,5.97983794977001,0.564864570827374,0.100735885408136
24,3.12697497624324,1.29525075842172,3.77789933373916,0.392547610616882,0.0420665290959249
25,5.5018871527121,2.23463111798181,5.85400248710272,0.661097180766924,0.075960832389626
26,6.86676973202307,2.48915154809803,7.62334917801149,0.7895811972344,0.126654832047097
27,10.1982934652305,3.28812078278802,5.30385514254332,0.776945831758673,0.102707530583124
28,8.13787276758617,2.42429075816025,3.25870107250282,0.581874789299913,0.0940098562820932
29,6.26598388885323,1.87481504866617,4.84343670565155,0.535969845096452,0.0694458152090892
