channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,1.80296596424347,1.23833950400737,0.352367324685456,0.226125890586389,0.0261945593318022
2,3.52532970876337,2.18906716679415,0.811978859138453,0.66996098192603,0.0943485427115565
3,0.671907263606793,0.532384499744583,0.179706279002882,0.190112033815548,0.0252418248963636
4,0.30375267947787,0.189955067241356,0.0553374872862368,0.0385877607359798,0.00438933280703216
5,0.810930663330746,0.62002405259497,0.212226087994551,0.142524275279732,0.018382601997139
6,3.39574835918847,2.330691240185,0.691983222893584,0.425226028375825,0.0563451320323286
7,1.87452013308977,1.5040038090746,0.44709028759236,0.250905627139152,0.0226284380602498
8,0.151481798489089,0.143138155223939,0.0383003928536549,0.0248989315512637,0.00185578061662199
9,0.168926640477654,0.184320655903766,0.0517360560728734,0.026193269987849,0.00202177457439817
10,1.84670647696967,1.56742583328828,0.416247828014174,0.203227004430555,0.0155852185625366
11,3.14954118780487,2.56569372029998,0.737518912976896,0.36224710463876,0.0244174023716198
12,1.07238177076982,1.01475599512054,0.29018644946151,0.172279924346801,0.00538318826498466
13,0.301449775103994,0.200109897752195,0.0546878977165403,0.0256362119207855,0.0013103365993235
14,1.07337455103041,1.16380559051629,0.322375263804305,0.158489356087297,0.00648322241954647
15,3.30247198131687,2.76832698510135,0.737431274026394,0.365084762079771,0.0208613951706728
16,2.13141261135665,2.22551663670852,0.790572009190458,0.406027788026675,0.0114261682177083
17,1.39796254264001,1.12263951251956,0.360384934225525,0.188328009176854,0.00473005588876009
18,1.20484267401019,0.997723852962075,0.315441403907308,0.155610858408704,0.00497894862666827
19,2.14395925303155,2.11154874629195,0.709883663458557,0.375563663649364,0.0120604396154695
20,0.906574686818661,0.564388232418962,0.165496622628837,0.0956050508537692,0.0108587001239975
21,3.29817891885239,3.90854117621708,1.65983001504952,0.554831618498461,0.0200380660854837
22,2.52903065694086,2.19404041414268,0.875427280021839,0.422755844568419,0.00891787146883584
23,2.18409459208738,1.53994793494718,0.536454020936355,0.26999377794644,0.00666720216616007
24,2.34476341956658,1.93947224320436,0.772440656509677,0.394128663591225,0.00921296307579977
25,3.63415044131786,3.43064886264439,1.45899624626021,0.612809313289624,0.02182536361265
26,4.85463940574795,5.92313764431379,2.46359411719571,0.711245855059215,0.0334779919116347
27,4.89383591799791,4.3701241459471,1.89940643089172,0.665465302813821,0.0203678759198459
28,4.83353840481958,3.37778777122308,1.29714459146871,0.615419963174464,0.0177104378891149
29,4.71973352086519,3.50925207384597,1.55704633148286,0.69224392270288,0.0221104590097631
30,4.65751716493467,4.24316508984305,1.51818569860676,0.755419045955521,0.0721546424599954
31,0.91247103716711,0.617342138186826,0.193449002204697,0.165481217024568,0.0209491371932706
32,1.0637799823704,0.700472416168398,0.228735236123174,0.163519503548662,0.0219305109489415
33,0.308917057237788,0.196611132140038,0.0565882651238637,0.0396253791134528,0.00449058437441116
34,0.380649720852033,0.268055267848081,0.0790729426658743,0.0390796445274037,0.00355535760847534
35,1.67219882077354,1.31164415351972,0.375703397572661,0.211259962506376,0.0218004546570769
36,3.40267645650192,2.39091168149891,0.731443637787379,0.359790287463647,0.0322770174239816
37,0.634116361129073,0.603954743884359,0.169101735802834,0.115110533448469,0.00962560080703095
38,0.75176397845648,0.790300258614222,0.213486435387818,0.10209268352229,0.00810334541809683
39,3.32217669612005,2.57337158869949,0.66310088678427,0.312177680447846,0.0209525608940742
40,1.79132563783246,1.69866596309986,0.490396728216175,0.262973691154942,0.0115404491664747
41,0.583689437923485,0.486836387849961,0.133354068737892,0.0693381512011735,0.0024077925574602
42,0.572898084346721,0.546761930863331,0.151286599339131,0.0684862472468868,0.00305951495884392
43,2.025534418037,1.91069621123328,0.517907358301854,0.263034338049394,0.0127726007051048
44,2.83624986667651,3.02418327031664,0.986773270545281,0.406051287560169,0.0179691250310511
45,1.62043482561881,1.52084641143788,0.511919071958481,0.291643159891557,0.00654772764057101
46,1.37039656546474,0.968161694449848,0.297342269270987,0.13888640586555,0.00483121186397043
47,1.63296620262006,1.52955269054068,0.519667334955407,0.279018068353372,0.00778178332670726
48,3.14544646116439,3.00486151319996,0.940148154397233,0.476537074404057,0.0275469798730784
49,2.8750400317143,2.87136360299871,1.23699560766464,0.506864708747931,0.0123966397060297
50,2.40535769519907,1.83543157186835,0.685761143700287,0.340471626353489,0.00739260706995707
51,2.14198927649188,1.60993806119353,0.591436578849217,0.298289178367311,0.00726931990485571
52,2.8783103587006,2.55172726143457,1.12617589795611,0.51271779642073,0.0130839816989607
53,4.61000459778654,4.99170348135926,2.53383870573901,0.736439655436935,0.0210387265071129
54,3.87932857790877,2.99368478372703,1.31427282764607,0.549814200528583,0.0120970234325647
55,3.77169474484344,2.446097180761,0.954135580233439,0.479690118411065,0.010550154011472
56,3.69889328766254,2.59200414491145,1.14687000016564,0.542623211524397,0.0122310980671028
57,4.60843175735686,3.71339617477317,1.98112549038718,0.783610568827989,0.0228578960169776
