channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,1.18360753685746,0.309292103071368,0.603198614240207,0.209762752084134,0.0441655530391653
2,3.8177719257171,0.709036932397383,0.795381001868849,0.322052649154691,0.0924587615377293
3,1.37535733531357,0.308397424099272,0.639348179845561,0.275937944043428,0.0892086166844471
4,5.59016150880891,0.958869818144078,0.836337243678543,0.322830239694255,0.142529186943264
5,3.63106277023552,0.678727527171977,0.919737239951701,0.418304436088173,0.153432422437682
6,4.20322987910651,0.964806665699977,1.17022649825393,0.456794111448699,0.273259229417607
7,4.72154463556799,1.2452897747056,1.55393109718543,0.822193779985247,0.202010416208876
8,3.14450913946455,1.0321039643383,1.39488577051942,0.556619194333557,0.0795170607627738
9,5.90792891538223,1.38829193995196,1.47508466426084,1.07243959566671,0.745503715318504
10,4.53555655757803,1.04235678814515,1.16413688912764,0.726426692449214,0.681094859897292
11,2.07746087170201,0.403099440944155,0.909965821648664,0.425437615883147,0.081323168307611
12,8.21519897074394,2.17582803499189,1.62665919708929,0.758984724386803,0.27850159125289
13,2.96680054687809,1.04228602541248,1.90554260636888,1.03144231391033,0.414941046836818
14,4.14845660726859,0.837319228796724,2.10326757644044,1.66727299186665,0.0820684660934569
15,2.6851113119835,0.616675932489439,1.26817687683505,0.412800462125476,0.0512968724455299
16,4.54849337544855,1.33289018450787,2.9144043628346,1.69930787721084,0.117132107621382
17,6.12650982680177,1.31611181858375,1.3468699695064,0.870117778459969,0.528593373184537
18,4.85100303693391,0.772900051839232,1.67720101518619,1.08584064369888,0.0846029203969803
19,3.76173831680285,0.623373127974665,1.70134269856543,0.817478335844987,0.0602593082354105
20,2.73965381157475,0.90576991012661,2.06356397910131,0.752512695304713,0.0861705277427049
21,2.17970787498674,0.690329080773175,1.88259608811211,0.827000946159156,0.0777262415119065
22,2.68012306655407,0.839303564656808,2.45394504940549,0.486146633189477,0.0599561197304521
23,4.61214256309143,0.928180048073496,2.68487670689707,0.882733863540083,0.0739308936444488
24,3.61558710152603,1.29159698751409,2.68803473535759,0.766450070059646,0.191958630241762
25,2.71081839542871,0.967355013813794,3.43472758558285,0.62206674418406,0.123317318855007
26,7.54729393061983,2.30446949728639,6.30711999276508,1.00693536387197,0.587778324534879
27,3.82192655173328,0.84521972798595,3.26076724331696,0.463620935113114,0.0807953509326778
28,2.93123792482005,0.77252604032325,2.85521660293155,0.40242349878155,0.0959517933818964
29,2.70274460399704,0.646305428248091,3.89626893312692,0.59052418355294,0.437458458225165
