channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,1.03253951409433,0.140583816769777,0.0675960872036961,0.035235309662173,0.0147955195078808
2,0.491507799278771,0.0657502088581975,0.030178417115827,0.0184107585662877,0.00653605949328626
3,2.21086301496259,0.318191012375199,0.171708476447509,0.0797696028105392,0.0290945013095642
4,1.26732383167981,0.186285230537071,0.0884718924735195,0.054415107706831,0.0283901300654117
5,1.93036573038261,0.285833467558204,0.141277618218144,0.0817144126129617,0.0289637249434979
6,1.92273100829236,0.25914526370938,0.123932867476061,0.0860587039297028,0.0386276970710383
7,1.61877751471614,0.257687434373672,0.0890878250180444,0.0541626599313043,0.0135413974060966
8,2.59621514730496,0.35984729071956,0.15015811859835,0.0779838874888755,0.0190957515681662
9,2.87555682805699,0.290111799098926,0.109127246642774,0.0659618304292868,0.0181531908464849
10,2.30131747713115,0.446274648241334,0.19629906620985,0.131046434367135,0.05549905019517
11,1.93289589581233,0.390927975987276,0.192606197472302,0.118710864143028,0.0473480561945108
12,3.92180561480782,0.441824947039702,0.240448184428774,0.171538892841543,0.0803757824467651
13,0.658759014999244,0.143401675827671,0.092684297542652,0.0638270373936438,0.0250699926717872
14,3.43838619668711,0.827703585478482,0.430320152923017,0.20849462106161,0.0645357623452696
15,4.58275834924161,0.747338166218672,0.309829293075172,0.166677489936569,0.0494550900923789
16,1.71630970141802,0.450961149647807,0.286395764969054,0.143551208427643,0.046976195188669
17,1.46321912559193,0.270640757231313,0.18777336304769,0.123489417055838,0.0720214372365024
18,1.35799959043201,0.25290904350326,0.188522656336228,0.0987262600351801,0.0358789171840614
19,1.40601421009373,0.313520311492011,0.22501420218156,0.107860251535391,0.0423474655034298
20,1.29658814134718,0.349314500221588,0.231621708516894,0.139313028393419,0.0451420755615541
21,0.452795430282836,0.132200366412888,0.0972198328742273,0.0478956266535451,0.0119901232087233
22,0.499460691888408,0.102215465384499,0.0507950825950185,0.0270437888044184,0.00974778080727884
23,0.412704804695874,0.0773992461924506,0.0542981256804455,0.0299494284648257,0.01298594052678
24,1.16146588070411,0.222022087941999,0.129408456095126,0.0784329359447518,0.029565914500989
25,2.11115810455588,0.484762032021842,0.282100536740211,0.135461608650482,0.0346143249623637
26,1.81817742311196,0.246319451764159,0.117295574913342,0.059017412155875,0.0230550864195387
27,3.14501980503504,0.546124882813028,0.284484031789361,0.124142099363277,0.0344649061443359
28,1.79678031300785,0.419733820507132,0.184228819940953,0.0936435126853326,0.0314595486841856
29,1.69091374413386,0.250363815105782,0.128039457805587,0.0611147278206758,0.0218735273896835
